Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Read,1C,21,19,58
Write,1C,01,00,CC
Read,1C,08,D6,5A
Write,1C,01,00,CB
Read,1C,1A,F1,E2
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,2D,69,D6
Write,1C,01,00,CC
Read,1C,6A,3B,C4
Write,1C,01,11,17,00,00
Write,1C,01,02,DD,00,00,01
Write,1C,00,FF,FF
Write,62,08,C2
Write,1C,01,00,CB
Read,1C,37,6A,DD
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,4B,68
Write,1C,01,00,CC
Read,1C,7E,95,AF
Write,1C,0D,02,7F
Read,1C,00,02,C1
Write,1C,0D,02,80
Read,1C,00,03,EA
Write,1C,0D,10,1C,02,5B,05,2D,00,7F
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7A,95,B3
Write,1C,01,01,01
Read,1C,10,9B,46
Write,1C,01,01,13
Read,1C,F9,91,C6
Write,1C,01,00,CB
Read,1C,38,05,12
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0B,23,47
Write,1C,01,00,CC
Read,1C,70,BF,14
Write,1C,0D,02,7F
Read,1C,00,05,2C
Write,1C,0D,02,80
Read,1C,00,08,9C
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,1C,07,FC,07,F7,07,6B,0C,07,07,B5,00,03,00,4B,0F,FC
Write,1C,0D,00,69,00,02,B6
Write,1C,0D,00,6A,00,00,08
Write,1C,0D,10,1C,00,A6,0F,89,01,C4,00,00,0E,3C
Write,1C,0D,00,69,00,02,BE
Write,1C,0D,00,6A,00,00,05
Write,1C,0D,12,CB,02,29
Write,1C,0D,12,D1,01,2B
Write,1C,01,00,CB
Read,1C,35,B7,77
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0C,14,2C
Write,1C,01,00,CC
Read,1C,7B,4C,71
Write,1C,01,00,CB
Read,1C,34,F9,CB
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,08,72,3F
Write,1C,01,00,CC
Read,1C,7F,33,94
Write,1C,0D,02,7F
Read,1C,00,07,7E
Write,1C,0D,02,80
Read,1C,00,0B,97
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,4F,02,02,02,02
Write,1C,0D,10,53,07,FF
Write,1C,0D,10,6F,01,44
Write,1C,0D,10,70,03,00
Write,1C,0D,10,54,05,B8,05,B8
Write,1C,0D,10,58,04,00
Write,1C,01,00,CB
Read,1C,35,4F,0B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,09,29,40
Write,1C,01,00,CC
Read,1C,7B,F1,73
Write,1C,01,00,CB
Read,1C,38,EC,5D
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
