Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Write,1C,01,00,CC
Read,1C,7D,64,78
Write,1C,01,01,01
Read,1C,05,5D,48
Write,1C,01,01,13
Read,1C,FF,4D,81
Write,1C,01,00,CB
Read,1C,3F,C1,D6
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,45,E1
Write,1C,01,00,CC
Read,1C,7D,B2,0F
Write,1C,0D,02,7F
Read,1C,00,A3,4B
Write,1C,0D,02,80
Read,1C,00,EC,2F
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,4F,02,02,02,02
Write,1C,0D,10,53,07,FF
Write,1C,0D,10,6F,01,44
Write,1C,0D,10,70,03,00
Write,1C,0D,10,54,05,B8,05,B8
Write,1C,0D,10,58,04,00
Write,1C,01,00,CB
Read,1C,3F,4A,6B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,29,E7
Write,1C,01,00,CC
Read,1C,7E,E4,73
Write,1C,01,00,CB
Read,1C,3F,4D,CF
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,E9,12
Write,1C,01,00,CC
Read,1C,7D,52,21
Write,1C,0D,02,7F
Read,1C,01,07,06
Write,1C,0D,02,80
Read,1C,01,91,B4
Write,1C,0D,10,6B,0E,94,00,10
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,F6,E0
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,2A,9A
Write,1C,01,00,CC
Read,1C,7F,A0,F0
Write,1C,0D,02,7F
Read,1C,00,B3,56
Write,1C,0D,02,80
Read,1C,00,E0,B1
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,D1,6C
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,03,BB,FB
Write,1C,01,00,CC
Read,1C,7F,D1,CD
Write,1C,01,00,CB
Read,1C,3F,4C,82
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,09,A3
Write,1C,01,00,CC
Read,1C,7F,3C,9C
Write,1C,0D,02,7F
Read,1C,00,6E,73
Write,1C,0D,02,80
Read,1C,00,87,8A
Write,1C,0D,10,3F,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7A,00,ED
Write,1C,01,01,01
Read,1C,05,CE,96
Write,1C,01,01,13
Read,1C,00,08,E8
Write,1C,01,00,CB
Read,1C,40,49,64
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,D9,44
Write,1C,01,00,CC
Read,1C,7A,18,E8
Write,1C,01,11,17,00,00
Write,1C,01,02,DD,00,00,01
Write,1C,00,FF,FF
Write,62,08,88,D6
Write,1C,01,00,CB
Read,1C,20,85,FF
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,1A,B3,16
Write,1C,01,00,CC
Read,1C,41,E1,5F
Write,1C,01,00,CB
Read,1C,26,54,31
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,1D,7C,F9
Write,1C,01,00,CC
Read,1C,5D,8D,6E
Write,1C,01,11,17,00,00
Write,1C,01,02,DD,00,00,01
Write,1C,00,FF,FF
Write,62,08,8A
Write,1C,01,00,CB
Read,1C,19,D5,F4
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,2C,F1,40
Write,1C,01,00,CC
Read,1C,00,00,01
Write,1C,01,00,CB
Read,1C,1B,54,BF
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,28,1E,F6
Write,1C,01,00,CC
Read,1C,13,06,13
Write,1C,01,11,17,00,00
Write,1C,01,02,DD,00,00,01
Write,1C,00,FF,FF
Write,62,08,8C
Write,1C,0D,02,7F
Read,1C,00,85,84
Write,1C,0D,02,80
Read,1C,00,B5,18
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,00,C1
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
