Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Write,1C,01,00,CB
Read,1C,40,A9,8B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,84,B6
Write,1C,01,00,CC
Read,1C,7D,37,E1
Write,1C,0D,02,7F
Read,1C,00,05,CF
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,4F,02,02,02,02
Write,1C,0D,10,53,07,FF
Write,1C,0D,10,6F,01,44
Write,1C,0D,10,70,03,00
Write,1C,0D,10,54,05,B8,05,B8
Write,1C,0D,10,58,04,00
Write,1C,01,00,CC
Read,1C,7D,60,6B
Write,1C,01,01,01
Read,1C,0A,89,2F
Write,1C,01,01,13
Read,1C,FF,DE,32
Write,1C,01,00,CB
Read,1C,3F,B1,DB
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,C6,31
Write,1C,01,00,CC
Read,1C,7D,75,64
Write,1C,01,00,CB
Read,1C,3F,69,3B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,89,ED
Write,1C,01,00,CC
Read,1C,7D,B5,1A
Write,1C,0D,02,7F
Read,1C,00,04,EF
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,6B,0D,BF,07,FF
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,1A,B8
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,09,3F,D0
Write,1C,01,00,CC
Read,1C,7F,AE,3A
Write,1C,0D,02,7F
Read,1C,00,05,1A
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,E0,7D
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,43,2D
Write,1C,01,00,CC
Read,1C,7F,16,56
Write,1C,01,00,CB
Read,1C,3E,64,E1
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0E,99,78
Write,1C,01,00,CC
Read,1C,7F,1E,8A
Write,1C,0D,02,7F
Read,1C,00,04,CB
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,3F,08,00,0F,EC
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,E4,0A
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,8C,CF
Write,1C,01,00,CC
Read,1C,7E,C2,80
Write,1C,0D,02,7F
Read,1C,00,05,10
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,0F,9D
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7D,36,FF
Write,1C,01,01,01
Read,1C,06,FC,D1
Write,1C,01,01,13
Read,1C,FD,F1,68
Write,1C,01,00,CB
Read,1C,40,6D,1B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,09,37,43
Write,1C,01,00,CC
Read,1C,73,D0,EA
Write,1C,01,00,CB
Read,1C,40,20,C7
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,B7,5C
Write,1C,01,00,CC
Read,1C,7C,3C,8B
Write,1C,0D,02,7F
Read,1C,00,05,D9
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,57,C5
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,09,68,E6
Write,1C,01,00,CC
Read,1C,7E,47,82
Write,1C,0D,02,7F
Read,1C,00,05,D8
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,1C,02,5B,05,2D,00,00
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,CD,60
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,BD,AB
Write,1C,01,00,CC
Read,1C,7D,C9,3F
Write,1C,01,00,CB
Read,1C,3F,D7,32
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,A3,47
Write,1C,01,00,CC
Read,1C,7F,63,CE
Write,1C,0D,02,7F
Read,1C,00,05,E6
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,1C,04,E0,07,F9,02,6C,0C,06,01,35,00,03,06,CA,0F,FC
Write,1C,0D,00,69,00,02,B6
Write,1C,0D,00,6A,00,00,08
Write,1C,0D,10,1C,00,A6,0F,89,01,C4,00,00,0E,3C
Write,1C,0D,00,69,00,02,BE
Write,1C,0D,00,6A,00,00,05
Write,1C,0D,12,CB,00,00
Write,1C,0D,12,D1,00,00
Write,1C,01,00,CB
Read,1C,3F,D3,61
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0C,AF,D0
Write,1C,01,00,CC
Read,1C,7E,66,8D
Write,1C,0D,02,7F
Read,1C,00,05,CB
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,4F,02,02,02,02
Write,1C,0D,10,53,07,FF
Write,1C,0D,10,6F,01,44
Write,1C,0D,10,70,03,00
Write,1C,0D,10,54,05,B8,05,B8
Write,1C,0D,10,58,04,00
Write,1C,01,00,CC
Read,1C,7C,2D,44
Write,1C,01,01,01
Read,1C,0A,6C,AE
Write,1C,01,01,13
Read,1C,FF,9C,D0
Write,1C,01,00,CB
Read,1C,3F,D7,7D
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,10,CD,68
Write,1C,01,00,CC
Read,1C,7C,6C,5F
Write,1C,01,00,CB
Read,1C,40,B4,ED
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,4E,9B
Write,1C,01,00,CC
Read,1C,7C,AF,14
Write,1C,0D,02,7F
Read,1C,00,05,8A
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,6B,0D,BF,07,FF
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,79,D7
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,06,DF,1D
Write,1C,01,00,CC
Read,1C,7F,49,DE
Write,1C,0D,02,7F
Read,1C,00,05,45
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,41,2E,64
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,39,E7
Write,1C,01,00,CC
Read,1C,7F,63,B8
Write,1C,01,00,CB
Read,1C,40,2F,48
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,95,DC
Write,1C,01,00,CC
Read,1C,79,43,7D
Write,1C,0D,02,7F
Read,1C,00,05,46
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,3F,08,00,0F,EC
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,62,C4
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,D3,5A
Write,1C,01,00,CC
Read,1C,7C,F6,86
Write,1C,0D,02,7F
Read,1C,00,05,8D
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,0F,9D
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7B,D6,17
Write,1C,01,01,01
Read,1C,06,CE,44
Write,1C,01,01,13
Read,1C,01,27,30
Write,1C,01,00,CB
Read,1C,3E,F2,A1
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,CA,F6
Write,1C,01,00,CC
Read,1C,7F,17,C1
Write,1C,01,00,CB
Read,1C,3F,33,91
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0D,5E,FF
Write,1C,01,00,CC
Read,1C,7D,12,EF
Write,1C,0D,02,7F
Read,1C,00,05,3B
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,A3,46
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,DB,26
Write,1C,01,00,CC
Read,1C,7E,AB,3A
Write,1C,0D,02,7F
Read,1C,00,05,C8
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,1C,02,5B,05,2D,00,00
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,40,29,9A
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,08,0E,FA
Write,1C,01,00,CC
Read,1C,7F,5E,82
Write,1C,01,00,CB
Read,1C,3F,3A,1C
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,CD,DD
Write,1C,01,00,CC
Read,1C,7F,AE,1F
Write,1C,0D,02,7F
Read,1C,00,04,F9
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,0D,10,1C,04,E0,07,F9,02,6C,0C,06,01,35,00,03,06,CA,0F,FC
Write,1C,0D,00,69,00,02,B6
Write,1C,0D,00,6A,00,00,08
Write,1C,0D,10,1C,00,A6,0F,89,01,C4,00,00,0E,3C
Write,1C,0D,00,69,00,02,BE
Write,1C,0D,00,6A,00,00,05
Write,1C,0D,12,CB,00,00
Write,1C,0D,12,D1,00,00
Write,1C,01,00,CB
Read,1C,3E,E7,59
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,08,D4,3E
Write,1C,01,00,CC
Read,1C,7C,6F,F4
Write,1C,01,00,CC
Read,1C,7F,B4,7D
Write,1C,01,01,01
Read,1C,0B,25,C0
Write,1C,01,01,13
Read,1C,FF,FF,8A
Write,1C,01,00,CB
Read,1C,3E,70,95
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,0D,02,7F
Read,1C,00,06,84
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
