Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Write,1C,01,00,CB
Read,1C,3F,4E,17
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,07,40,40
Write,1C,01,00,CC
Read,1C,7F,FF,FF
Write,1C,01,00,CC
Read,1C,7E,23,B5
Write,1C,01,01,01
Read,1C,07,77,94
Write,1C,01,01,13
Read,1C,00,82,56
Write,1C,01,00,CB
Read,1C,3F,AE,FE
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,0D,02,7F
Read,1C,00,07,79
Write,1C,0D,02,80
Read,1C,00,00,02
Write,1C,0D,10,6B,08,00,07,FF
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,01,01
Read,1C,07,42,6D
Write,1C,01,00,CC
Read,1C,7E,7E,CB
Write,1C,01,00,CB
Read,1C,3F,77,9D
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,08,3F,A8
Write,1C,01,00,CC
Read,1C,7D,A9,B8
Write,1C,0D,02,7F
Read,1C,00,06,9C
Write,1C,0D,02,80
Read,1C,00,00,03
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,A5,E2
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,AD,C7
Write,1C,01,00,CC
Read,1C,7D,6C,D8
Write,1C,0D,02,7F
Read,1C,00,0A,D8
Write,1C,0D,02,80
Read,1C,00,00,03
Write,1C,0D,10,3F,08,00,0F,EC
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,79,94
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,02,D1,C1
Write,1C,01,00,CC
Read,1C,7E,F8,43
Write,1C,01,00,CB
Read,1C,41,08,26
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,04,D7,1E
Write,1C,01,00,CC
Read,1C,7E,48,4E
Write,1C,0D,02,7F
Read,1C,00,06,B7
Write,1C,0D,02,80
Read,1C,00,00,02
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,0F,9D
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,41,EB,ED
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,05,06,F6
Write,1C,01,00,CC
Read,1C,7D,F8,84
Write,1C,0D,02,7F
Read,1C,00,08,51
Write,1C,0D,02,80
Read,1C,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7F,60,B0
Write,1C,01,01,01
Read,1C,0A,64,AD
Write,1C,01,01,13
Read,1C,FC,17,2B
Write,1C,01,00,CB
Read,1C,3E,1F,00
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,04,4D,A4
Write,1C,01,00,CC
Read,1C,7D,C1,2E
Write,1C,01,00,CB
Read,1C,3E,3D,0B
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0F,7F,46
Write,1C,01,00,CC
Read,1C,7F,1E,05
Write,1C,0D,02,7F
Read,1C,00,08,DE
Write,1C,0D,02,80
Read,1C,00,00,01
Write,1C,0D,10,1C,02,5B,05,2D,00,00
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3E,04,AE
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0F,8B,C5
Write,1C,01,00,CC
Read,1C,7F,34,9E
Write,1C,0D,02,7F
Read,1C,00,07,5B
Write,1C,0D,02,80
Read,1C,00,00,01
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
