Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Write,1C,0D,02,7F
Read,1C,00,05,2E
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,6B,0D,BF,07,FF
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CC
Read,1C,7E,61,6E
Write,1C,01,01,01
Read,1C,05,E5,CE
Write,1C,01,01,13
Read,1C,FF,AA,AD
Write,1C,01,00,CB
Read,1C,3E,55,51
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0B,15,1B
Write,1C,01,00,CC
Read,1C,7F,43,A3
Write,1C,01,00,CB
Read,1C,3F,96,C0
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,09,FC,43
Write,1C,01,00,CC
Read,1C,7F,79,3E
Write,1C,0D,02,7F
Read,1C,00,06,C2
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,F4,70
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,36,6C
Write,1C,01,00,CC
Read,1C,7C,64,53
Write,1C,0D,02,7F
Read,1C,00,06,86
Write,1C,0D,02,80
Read,1C,00,00,00
Write,1C,0D,10,3F,08,00,0F,EC
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,08,00
Write,1C,0D,12,9E
Read,1C,08,00
Write,1C,01,00,CB
Read,1C,3F,91,CB
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,0A,DF,2A
Write,1C,01,00,CC
Read,1C,7F,35,73
Write,1C,01,00,CB
Read,1C,40,1D,CC
Write,1C,01,01,03
Read,1C,00,00,00
Write,1C,01,01,01
Read,1C,04,F3,C7
Write,1C,01,00,CC
Read,1C,7E,42,06
Write,1C,0D,02,7F
