Type,Address,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
Write,1C,0D,10,3F,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,CB
Read,1C,3F,05,32
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,09,20,6E
Write,1C,01,00,CC
Read,1C,78,4E,28
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3F,62,23
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,04,E1,24
Write,1C,01,00,CC
Read,1C,7D,18,F5
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,00,C1
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,EF,A9
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,05,E1,91
Write,1C,01,00,CC
Read,1C,76,4F,9A
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,7F,8B
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,08,27,31
Write,1C,01,00,CC
Read,1C,7E,74,34
Write,1C,0D,10,1C,02,5B,05,2D,00,7F
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,0D,10,1C,07,FC,07,F7,07,6B,0C,07,07,B5,00,03,00,4B,0F,FC
Write,1C,0D,00,69,00,02,B6
Write,1C,0D,00,6A,00,00,08
Write,1C,0D,10,1C,00,A6,0F,89,01,C4,00,00,0E,3C
Write,1C,0D,00,69,00,02,BE
Write,1C,0D,00,6A,00,00,05
Write,1C,0D,12,CB,02,29
Write,1C,0D,12,D1,01,2B
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,80,7B
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,05,4C,70
Write,1C,01,00,CC
Read,1C,7F,C3,1C
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,98,C3
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,06,A7,B8
Write,1C,01,00,CC
Read,1C,7F,38,E9
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,0D,10,4F,02,02,02,02
Write,1C,0D,10,53,07,FF
Write,1C,0D,10,6F,01,44
Write,1C,0D,10,70,03,00
Write,1C,0D,10,54,05,B8,05,B8
Write,1C,0D,10,58,04,00
Write,1C,0D,10,6B,0F,FB,00,08
Write,1C,0D,12,C5,00,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,BC,6D
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,04,35,F8
Write,1C,01,00,CC
Read,1C,77,D3,AF
Write,1C,0D,10,41,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,CB
Read,1C,3E,4E,29
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,04,C6,45
Write,1C,01,00,CC
Read,1C,75,F9,D0
Write,1C,01,00,95
Read,1C,12
Write,1C,01,00,CB
Read,1C,3E,6E,22
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,08,EA,C2
Write,1C,01,00,CC
Read,1C,72,80,7B
Write,1C,0D,10,3F,08,00,08,00
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,01,00,CB
Read,1C,3E,BC,98
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,01
Read,1C,06,48,5F
Write,1C,01,00,CC
Read,1C,7A,A0,4F
Write,1C,0D,10,1C,07,F4,02,19,0C,0B,04,D8,00,05,06,6C,00,00,00,00,0F,FA,01,94,00,C1
Write,1C,0D,00,69,00,00,A7
Write,1C,0D,00,6A,00,00,0B
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,00,FF,FF
Write,62,88,A6,D8
Write,1C,00,FF,FF
Write,62,88,A6,D8
Write,1C,01,10,2F,00,94
Write,1C,01,01,04
Read,1C,3E,51,AF
Write,1C,01,01,03
Read,1C,00,00,01
Write,1C,01,01,06
Read,1C,05,39,64
Write,1C,01,01,05
Read,1C,7F,8A,DC
Write,1C,01,01,07
Read,1C,FC,B6,B2
Write,1C,0D,10,1C,02,5B,05,2D,00,7F
Write,1C,0D,00,69,00,00,B2
Write,1C,0D,00,6A,00,00,03
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
Write,1C,0D,12,9E
Read,1C,0F,FF
Write,1C,0D,12,9B
Read,1C,08,00
Write,1C,0D,12,9C
Read,1C,08,00
Write,1C,0D,12,9D
Read,1C,0F,FF
